Product,In-Store,Instacart
"Hinode Calrose Rice, 20 lb",$18.99,$25.49
"Cheerios, 12 oz",$8.99,$11.19
"Barilla Spaghetti, 16 oz",$3.49,$3.69
"Russet potatoes, 5 lb bag",$5.79,$7.49
"Roma tomatoes, 1 lb",$4.29,$4.89
"Del Monte Whole Kernel Corn, 15.25 oz",$2.69,$3.59
"Bananas, 1 lb",$1.39,$1.89
"Dole Pineapple Chunks in Juice, 20 oz",$3.49,$3.69
"Sunhearth Milk, 1 gallon",$7.99,$9.59
"Land O'Lakes Salted Butter, 1 lb",$8.99,$11.19
"Farm Pack Mainland Eggs, Large, 12 each",$8.99,$9.59
"Ground beef 80/20, ~1 lb",$7.99,$9.59
"Boneless skinless chicken breast, 1 lb",$5.79,$6.19
"SPAM Classic, 12 oz",$3.79,$4.29
"StarKist Chunk Light Tuna, 5 oz",$1.89,$3.09
"Jif Creamy Peanut Butter, 16 oz",$4.79,$6.09
"Wesson Vegetable Oil, 40 oz",$9.69,$10.29
Kraft SIngles American Cheese Slices,$5.19,$7.89
"Folgers Classic Roast, 25.9 oz",$24.99,$33.99
"C&H Granulated Sugar, 4 lb",$8.39,$8.89
"Campbell's Chicken Noodle Soup, 10.75 oz",$2.79,$3.59
"Maruchan Ramen Soy Sauce, 2.25 oz",$0.99,$1.59
"Health and Harvest Bread, White, 22 oz",$5.19,$7.69
"Taylor Farms Baby Spinach, 6 oz",$5.79,$7.19
"Tropicana No Pulp Orange Juice, 89 oz",$12.49,$15.89
"Fuji Apple, 1 lb",$2.49,$3.89